"","LATITUDE","LONGITUDE"
"336214",40.720936,-73.993805
"336242",40.761787,-73.95745
"336257",40.806915,-73.93557
"336277",40.847855,-73.937904
"336278",40.77343,-73.98914
"336295",40.820316,-73.93805
"336314",40.76938,-73.98839
"336322",40.8165,-73.946556
"336326",40.79356,-73.96702
"336328",40.851395,-73.929146
"336335",40.725796,-73.99762
"336359",40.787224,-73.95417
"336363",40.751305,-73.98766
"336364",40.811737,-73.93839
"336407",40.773052,-73.96241
"336416",40.744762,-73.99517
"336433",40.74834,-73.98465
"336454",40.808556,-73.93944
"336458",40.745293,-73.9985
"336459",40.806526,-73.94047
"336501",40.707294,-74.0121
"336506",40.74197,-73.980865
"336540",40.85685,-73.92284
"336551",40.762966,-73.973976
"336554",40.81693,-73.95738
"336561",40.872154,-73.91284
"336563",40.84103,-73.94463
"336568",40.793377,-73.97086
"336579",40.748642,-73.97721
"336581",40.758663,-73.959724
"336590",40.801765,-73.93723
"336595",40.718678,-73.989944
"336618",40.761658,-73.986565
"336631",40.723934,-73.996284
"336654",40.725403,-73.980965
"336666",40.84619,-73.93846
"336670",40.804676,-73.93223
"336692",40.86726,-73.9224
"336704",40.752052,-74.000984
"336708",40.731026,-73.98976
"336719",40.75763,-73.97892
"336721",40.855953,-73.935425
"336731",40.822315,-73.943794
"336733",40.792095,-73.97366
"336736",40.745068,-73.97258
"336740",40.75649,-73.997765
"336741",40.721687,-73.98756
"336750",40.72843,-73.98781
"336754",40.715954,-73.986725
"336759",40.74878,-73.9801
"336772",40.759884,-73.98627
"336781",40.759544,-73.97375
"336802",40.7603,-73.99499
"336816",40.7616,-73.96865
"336822",40.715424,-73.98984
"336840",40.72625,-74.00374
"336842",40.752956,-73.99527
"336863",40.731815,-73.98826
"336874",40.723213,-74.00621
"336897",40.762455,-73.98459
"336905",40.741642,-74.00487
"336920",40.784462,-73.97737
"336924",40.835793,-73.939896
"336926",40.75022,-73.979065
"336941",40.721363,-73.99267
"336953",40.739384,-74.00968
"336980",40.713387,-73.98221
"336985",40.753624,-73.96944
"337006",40.798622,-73.94163
"337020",40.708958,-74.00762
"337025",40.769115,-73.98856
"337026",40.720688,-73.98712
"337032",40.71918,-73.99029
"337034",40.717846,-73.99212
